Date,qqq_open,qqq_close,tqqq_close,vix,ma5,ma10,ma20,ma50,ma200,rsi,rsi_prev,vix_prev,vix_3d_min,price_prev_1,ma50_prev,ma10_prev,vix_3d_ago,vix_5d_ago,vix_roc3,vix_roc5,rsi_streak,pos_V3,ret_V3,equity_V3,pos_V3A,ret_V3A,equity_V3A,pos_V3A_X2,ret_V3A_X2,equity_V3A_X2,pos_V3A_X8,ret_V3A_X8,equity_V3A_X8,pos_V3A_X10,ret_V3A_X10,equity_V3A_X10,pos_BH,equity_BH
2010-10-18,45.02589458184337,44.851036071777344,0.31197357177734375,19.09000015258789,44.3859245300293,43.85960388183594,43.36956214904785,41.24279731750488,40.43688121795654,83.09744474225685,76.95618687730959,19.030000686645508,19.030000686645508,45.01716995239258,41.161501998901365,43.613055038452146,19.06999969482422,18.959999084472656,0.10487917191261964,0.685659675066641,33,1.0,0.0,10000.0,1.0,0.0,10000.0,1.0,0.0,10000.0,1.0,0.0,10000.0,1.0,0.0,10000.0,1.0,10000.0
2010-10-19,44.431396484375,44.431396484375,0.2995678782463074,20.6299991607666,44.510073852539065,43.961021423339844,43.456991577148436,41.31011756896973,40.45758428573608,66.29167902463178,83.09744474225685,19.09000015258789,19.030000686645508,44.851036071777344,41.24279731750488,43.85960388183594,19.8799991607666,18.93000030517578,3.7726359741510063,8.980448115080119,34,1.0,-0.039765206585801294,9602.347934141988,1.0,-0.039765206585801294,9602.347934141988,1.0,-0.039765206585801294,9602.347934141988,1.0,-0.039765206585801294,9602.347934141988,1.0,-0.039765206585801294,9602.347934141988,1.0,9602.347934141988
2010-10-20,44.55378901234735,44.75487518310547,0.3057959973812103,19.790000915527344,44.62722625732422,44.13238258361817,43.56627788543701,41.39106010437012,40.47990474700928,77.99947892059274,66.29167902463178,20.6299991607666,19.09000015258789,44.431396484375,41.31011756896973,43.961021423339844,19.030000686645508,19.06999969482422,3.993695225745175,3.775570174227849,35,1.0,0.020790343648867893,9801.984047528795,1.0,0.020790343648867893,9801.984047528795,1.0,0.020790343648867893,9801.984047528795,1.0,0.020790343648867893,9801.984047528795,1.0,0.020790343648867893,9801.984047528795,1.0,9801.984047528795
2010-10-21,45.034653292397,44.84231185913086,0.3079291582107544,19.270000457763672,44.77935791015625,44.296749877929685,43.68080997467041,41.49590591430664,40.50387752532959,77.48489182200098,77.99947892059274,19.790000915527344,19.270000457763672,44.75487518310547,41.39106010437012,44.13238258361817,19.09000015258789,19.8799991607666,0.9429036340336427,-3.068404068179087,36,1.0,0.0069757643913332945,9870.360378811964,1.0,0.0069757643913332945,9870.360378811964,1.0,0.0069757643913332945,9870.360378811964,1.0,0.0069757643913332945,9870.360378811964,1.0,0.0069757643913332945,9870.360378811964,1.0,9870.360378811964
2010-10-22,44.85104545682693,45.1483039855957,0.3139333724975586,18.780000686645508,44.80558471679687,44.46198997497559,43.7673641204834,41.61315200805664,40.52925003051758,77.55042072926406,77.48489182200098,19.270000457763672,18.780000686645508,44.84231185913086,41.49590591430664,44.296749877929685,20.6299991607666,19.030000686645508,-8.967515993114317,-1.3137151391457436,37,1.0,0.019498687041175744,10062.81944682204,1.0,0.019498687041175744,10062.81944682204,1.0,0.019498687041175744,10062.81944682204,1.0,0.019498687041175744,10062.81944682204,1.0,0.019498687041175744,10062.81944682204,1.0,10062.81944682204
2010-10-25,45.33191756675419,45.36688995361328,0.3186970353126526,19.850000381469727,44.908755493164065,44.64734001159668,43.876651191711424,41.74035224914551,40.55406635284424,78.96124703761808,77.55042072926406,18.780000686645508,18.780000686645508,45.1483039855957,41.61315200805664,44.46198997497559,19.790000915527344,19.09000015258789,0.3031807133232922,3.9811431262812613,38,1.0,0.015174120474022113,10215.51388141645,1.0,0.015174120474022113,10215.51388141645,1.0,0.015174120474022113,10215.51388141645,1.0,0.015174120474022113,10215.51388141645,1.0,0.015174120474022113,10215.51388141645,1.0,10215.51388141645
2010-10-26,45.13956690882372,45.489280700683594,0.3206072747707367,20.219999313354492,45.12033233642578,44.81520309448242,43.99293270111084,41.86860450744629,40.58031915664673,77.74507541509513,78.96124703761808,19.850000381469727,18.780000686645508,45.36688995361328,41.74035224914551,44.64734001159668,19.270000457763672,20.6299991607666,4.929936860526007,-1.987396335874958,39,1.0,0.005993904073221534,10276.744691680322,1.0,0.005993904073221534,10276.744691680322,1.0,0.005993904073221534,10276.744691680322,1.0,0.005993904073221534,10276.744691680322,1.0,0.005993904073221534,10276.744691680322,1.0,10276.744691680322
2010-10-27,45.253236048426736,45.629180908203125,0.32390761375427246,20.709999084472656,45.29519348144531,44.96120986938477,44.11970558166504,41.98971145629883,40.60978853225708,76.0119393896558,77.74507541509513,20.219999313354492,19.850000381469727,45.489280700683594,41.86860450744629,44.81520309448242,18.780000686645508,19.790000915527344,10.276881401817906,4.648803064094231,40,1.0,0.010294024007707847,10382.533748257563,1.0,0.010294024007707847,10382.533748257563,1.0,0.010294024007707847,10382.533748257563,1.0,0.010294024007707847,10382.533748257563,1.0,0.010294024007707847,10382.533748257563,1.0,10382.533748257563
2010-10-28,45.821518001614,45.725345611572266,0.3257683217525482,20.8799991607666,45.47180023193359,45.125579071044925,44.26090412139892,42.109601440429685,40.637265090942385,79.19276204000553,76.0119393896558,20.709999084472656,20.219999313354492,45.629180908203125,41.98971145629883,44.96120986938477,19.850000381469727,19.270000457763672,5.188910627217891,8.35494896085629,41,1.0,0.005744563941270542,10442.176877246828,1.0,0.005744563941270542,10442.176877246828,1.0,0.005744563941270542,10442.176877246828,1.0,0.005744563941270542,10442.176877246828,1.0,0.005744563941270542,10442.176877246828,1.0,10442.176877246828
2010-10-29,45.72532851326942,45.62041473388672,0.32420483231544495,21.200000762939453,45.5662223815918,45.185903549194336,44.39947929382324,42.239430084228516,40.66404340744018,65.19773576927142,79.19276204000553,20.8799991607666,20.709999084472656,45.725345611572266,42.109601440429685,45.125579071044925,20.219999313354492,18.780000686645508,4.846693782712985,12.88604892338907,42,1.0,-0.004799390648827062,10392.060791188771,1.0,-0.004799390648827062,10392.060791188771,1.0,-0.004799390648827062,10392.060791188771,1.0,-0.004799390648827062,10392.060791188771,1.0,-0.004799390648827062,10392.060791188771,1.0,10392.060791188771
